Name: RAL Design	
Description: RAL design colors	
86  99  65	RAL 120 40 20
80  101  50	RAL 120 40 30
74  103  32	RAL 120 40 40
117  120  111	RAL 120 50 05
115  121  104	RAL 120 50 10
110  124  89	RAL 120 50 20
105  126  73	RAL 120 50 30
99  128  56	RAL 120 50 40
92  130  37	RAL 120 50 50
143  146  137	RAL 120 60 05
140  147  129	RAL 120 60 10
136  149  113	RAL 120 60 20
130  152  97	RAL 120 60 30
125  154  81	RAL 120 60 40
118  156  62	RAL 120 60 50
110  158  41	RAL 120 60 60
108  159  33	RAL 120 60 63
169  172  163	RAL 120 70 05
167  174  155	RAL 120 70 10
162  176  139	RAL 120 70 20
157  178  123	RAL 120 70 30
151  181  106	RAL 120 70 40
145  183  88	RAL 120 70 50
137  185  68	RAL 120 70 60
130  187  44	RAL 120 70 70
125  188  27	RAL 120 70 75
196  200  190	RAL 120 80 05
194  201  182	RAL 120 80 10
189  203  165	RAL 120 80 20
184  206  149	RAL 120 80 30
178  208  132	RAL 120 80 40
172  211  114	RAL 120 80 50
165  213  95	RAL 120 80 60
224  228  218	RAL 120 90 05
222  229  210	RAL 120 90 10
217  232  193	RAL 120 90 20
212  234  176	RAL 120 90 30
56  76  46	RAL 130 30 20
87  97  81	RAL 130 40 10
80  100  68	RAL 130 40 20
71  103  55	RAL 130 40 30
112  122  106	RAL 130 50 10
104  125  92	RAL 130 50 20
95  128  78	RAL 130 50 30
86  130  64	RAL 130 50 40
74  133  48	RAL 130 50 50
137  148  131	RAL 130 60 10
129  151  117	RAL 130 60 20
121  154  103	RAL 130 60 30
111  156  88	RAL 130 60 40
100  159  72	RAL 130 60 50
88  161  55	RAL 130 60 60
164  174  157	RAL 130 70 10
155  178  143	RAL 130 70 20
147  181  128	RAL 130 70 30
137  184  113	RAL 130 70 40
127  186  98	RAL 130 70 50
115  189  81	RAL 130 70 60
191  202  184	RAL 130 80 10
182  205  169	RAL 130 80 20
174  208  154	RAL 130 80 30
164  211  139	RAL 130 80 40
154  214  123	RAL 130 80 50
222  228  219	RAL 130 90 05
218  230  211	RAL 130 90 10
210  233  196	RAL 130 90 20
